Timestamp,model_name,balanced,with_sw,ROC_AUC,accuracy,F1_score,recall,cm
2023-04-24 02:39:38.075859,MultinomialNB_best_noSW,none,0,0.8194321796657568,0.8746241006966032,0.9194905932486495,0.91803198672372,[12505  4843  5038 56425]
2023-04-24 02:50:29.879769,LogisticRegression_best_noSW,none,0,0.8565338283249914,0.8954841329256068,0.9325284032732365,0.9261181523843613,[13652  3696  4541 56922]
2023-04-24 02:51:16.997467,LogisticRegression_best_noSW_Summary,summary,0,0.7697835551805743,0.847229447665935,0.9026472823713958,0.908139856499032,[10954  6394  5646 55817]
2023-04-24 03:18:15.062828,LogisticRegression_best_noSW_Droppout0.25,dropout_0.25,0,0.7501625925945252,0.810559439672127,0.8760049166168361,0.8580609472365488,[11142  6206  8724 52739]
2023-04-24 03:18:50.760495,LogisticRegression_best_noSW_Droppout0.1,dropout_0.25,0,0.623846367811838,0.6894595932039944,0.7882322402007441,0.7410637293981746,[ 8789  8559 15915 45548]
2023-04-24 03:29:30.278019,LogisticRegression_best_noSW_Droppout0.5,dropout_0.5,0,0.7940382805687668,0.8452119627970714,0.8992192986079557,0.8854595447667702,[12189  5159  7040 54423]
2023-04-24 03:36:02.547668,LogisticRegression_best_SW,stopwords,1,0.9217191274173085,0.9273802438808201,0.9524030840477712,0.9318392204628502,[15860  1538  4197 57378]
2023-04-24 03:38:10.642072,LogisticRegression_best_Summary+SW,summary+stopwords,1,0.7700464326918262,0.8462892380940321,0.9019110338976203,0.9063418595209095,[11026  6372  5767 55808]
2023-04-24 03:42:13.637210,LogisticRegression_best_SW+Dropout0.1,dropout_0.1,1,0.6212573348461005,0.6842971648538108,0.7837978459563988,0.733950466910272,[ 8848  8550 16382 45193]
2023-04-24 03:42:20.918136,LogisticRegression_best_SW+Dropout0.25,dropout_0.25,1,0.7600446973875268,0.7947779620883086,0.8620128902624878,0.8221356069833536,[12143  5255 10952 50623]
2023-04-24 03:42:30.257161,LogisticRegression_best_SW+Dropout0.5,dropout_0.5,1,0.8361112815455616,0.8571283856507921,0.9050867703592789,0.8736825010150223,[13893  3505  7778 53797]
2023-04-24 03:46:23.326859,MultinomialNB_best_noSW_Summary,summary,0,0.7753612255502486,0.8197586631307813,0.8808974821199493,0.8546767974228398,[12075  5273  8932 52531]
2023-04-24 03:51:25.124865,MultinomialNB_best_SW+Dropout0.1,dropout_0.1,0,0.6204992464859354,0.6492621588356955,0.7492425204564834,0.6718838976294681,[ 9873  7475 20167 41296]
2023-04-24 03:51:30.028911,MultinomialNB_best_SW+Dropout0.25,dropout_0.25,0,0.7266662895479339,0.7921736813388994,0.8636117610811801,0.8436945804793128,[10576  6772  9607 51856]
2023-04-24 03:51:36.217958,MultinomialNB_best_SW+Dropout0.5,dropout_0.5,0,0.768341192791338,0.8305566481836292,0.8900597698121285,0.8794884727396971,[11401  5947  7407 54056]
2023-04-24 03:55:49.239656,MultinomialNB_best_SW,stopwords,1,0.9176117335507923,0.936826510326314,0.9591811688471074,0.9519610231425092,[15367  2031  2958 58617]
2023-04-24 03:58:02.286789,MultinomialNB_best_Summary+SW,summary+stopwords,1,0.7695031335591096,0.814607524090512,0.8773117693886957,0.8501339829476249,[11985  5413  9228 52347]
2023-04-24 04:00:16.951959,MultinomialNB_best_SW+Dropout0.1,dropout_0.1,1,0.5095224370691989,0.27888012358654224,0.1737061273051755,0.09721477872513196,[16038  1360 55589  5986]
2023-04-24 04:00:19.775769,MultinomialNB_best_SW+Dropout0.25,dropout_0.25,1,0.7287867128524579,0.7476099426386233,0.8248906225291233,0.762436053593179,[12094  5304 14628 46947]
2023-04-24 04:00:22.667930,MultinomialNB_best_SW+Dropout0.5,dropout_0.5,1,0.7418036840631622,0.7695161637521685,0.8426194922874732,0.7913438895655704,[12044  5354 12848 48727]
2023-04-26 00:35:43.384047,W2V_LogReg_Win2_Samp6e-5,test,0,0.8292985516356044,0.8247706538427377,0.8796598058523153,0.8212095081593804,[14527  2821 10989 50474]
2023-04-26 00:44:45.710955,W2V_LogReg_Win2_Samp6e-5,sum,0,0.49743316341069505,0.750352108208245,0.8557181094855718,0.9492702926964189,[  791 16557  3118 58345]
2023-04-26 01:16:33.043867,W2V_LogReg_Win2_Samp6e-5,summary,0,0.49969902794564225,0.7467231731611069,0.8528329708408596,0.9410051575744757,[ 1013 16335  3626 57837]
2023-04-26 01:19:07.710142,W2V_LogReg_minWord20_Samp6e-5,summary,0,0.49969902794564225,0.7467231731611069,0.8528329708408596,0.9410051575744757,[ 1013 16335  3626 57837]
2023-04-26 01:19:20.775770,W2V_LogReg_minWord20_Samp6e-5,test,0,0.49969902794564225,0.7467231731611069,0.8528329708408596,0.9410051575744757,[ 1013 16335  3626 57837]
2023-04-26 01:38:18.043756,W2V_LogReg_minWord10_Samp6e-5,test,0,0.8278681684995659,0.8235398611868902,0.8787775772948755,0.8201356913915689,[14496  2852 11055 50408]
2023-04-26 01:40:34.398611,W2V_LogReg_minWord10_Samp6e-5,summary,0,0.5300132329622785,0.7080483688825164,0.8191954989431003,0.8480711973056961,[ 3677 13671  9338 52125]
2023-04-26 01:52:47.332128,W2V_LogReg_minWord10_Samp6e-5+Dropout0.1,dropout_0.1,0,0.4996445998575109,0.7062085241907855,0.8218045807166606,0.8686689553064445,[ 2266 15082  8072 53391]
2023-04-26 01:55:29.486494,W2V_LogReg_minWord10_Samp6e-5+Dropout0.1,dropout_0.1,0,0.6431997165262086,0.6347210414789813,0.7283945958185523,0.6280526495615248,[11421  5927 22861 38602]
2023-04-26 01:57:45.574485,W2V_LogReg_minWord10_Samp6e-5+Dropout0.25,dropout_0.25,0,0.7537663314135153,0.7553260331679588,0.8282642964651818,0.7565527227763045,[13028  4320 14963 46500]
2023-04-26 02:00:08.940486,W2V_LogReg_minWord10_Samp6e-5+Dropout0.5,dropout_0.5,0,0.7846276318216698,0.7826826204463844,0.8486358936288676,0.7811528887298049,[13672  3676 13451 48012]
2023-04-26 02:12:14.403110,W2V_LogReg_minWord100_Samp6e-5,test,0,0.8303277507731313,0.8259887579145043,0.8805712792824175,0.822576184045686,[14539  2809 10905 50558]
2023-04-26 02:13:06.018662,W2V_LogReg_minWord50_Samp6e-5,summary,0,0.5198653790226521,0.7368768319143267,0.8432565627858108,0.9075541382620438,[ 2293 15055  5682 55781]
2023-04-26 02:13:58.751546,W2V_LogReg_minWord50_Samp6e-5+Dropout0.1,dropout_0.1,0,0.643617395092607,0.6351143875854893,0.7287254615261257,0.6284268584351561,[11429  5919 22838 38625]
2023-04-26 02:14:55.476079,W2V_LogReg_minWord50_Samp6e-5+Dropout0.25,dropout_0.25,0,0.7550154243599941,0.7561127253809747,0.8288012255840674,0.756975741503018,[13064  4284 14937 46526]
2023-04-26 02:15:54.922714,W2V_LogReg_minWord50_Samp6e-5+Dropout0.5,dropout_0.5,0,0.7872171490865958,0.7849792541650277,0.8503320850703031,0.7832191725102907,[13726  3622 13324 48139]
2023-04-26 02:21:15.972190,W2V_LogReg_minWord20_win4_Samp6e-5,test,0,0.8313288268482597,0.8271307304817855,0.8814211360036208,0.8238289702747995,[14552  2796 10828 50635]
2023-04-26 02:22:44.507290,W2V_LogReg_minWord20_win4_Samp6e-5,summary,0,0.5082619614123355,0.46171219753587694,0.5519280938750937,0.42510128044514583,[10260  7088 35335 26128]
2023-04-26 02:24:12.531696,W2V_LogReg_minWord10_Samp6e-5+Dropout0.1,dropout_0.1,0,0.6418460168355692,0.6344165154610397,0.728393665158371,0.6285732879944032,[11365  5983 22829 38634]
2023-04-26 02:25:43.649888,W2V_LogReg_minWord10_Samp6e-5+Dropout0.25,dropout_0.25,0,0.7586441472325002,0.7590945426399868,0.8309982019191396,0.7594487740591901,[13147  4201 14785 46678]
2023-04-26 02:27:16.603059,W2V_LogReg_minWord10_Samp6e-5+Dropout0.5,dropout_0.5,0,0.7887047016680893,0.7866541472637069,0.8516184828267853,0.7850414070253648,[13746  3602 13212 48251]
2023-04-26 02:56:13.395494,W2V_LogReg_minWord50_Win4,test,0,0.830816822331058,0.8247833424268186,0.8795162852381492,0.8200380716854042,[14600  2748 11061 50402]
2023-04-26 02:57:06.007280,W2V_LogReg_minWord50_Win4,summary,0,0.47324415791432145,0.37485883950209997,0.4260217158301878,0.2974797845858484,[11259  6089 43179 18284]
2023-04-26 02:57:59.753650,W2V_LogReg_minWord50_Win4+Dropout0.1,dropout_0.1,0,0.6390431684191914,0.6300770197053711,0.7242859844902592,0.6230252346940436,[11364  5984 23170 38293]
2023-04-26 02:58:58.017790,W2V_LogReg_minWord50_Win4+Dropout0.25,dropout_0.25,0,0.7537923832177372,0.7544632094504574,0.8274681478971816,0.7549908074776694,[13056  4292 15059 46404]
2023-04-26 02:59:56.638360,W2V_LogReg_minWord50_Win4+Dropout0.5,dropout_0.5,0,0.7851478210208299,0.7827841291190316,0.8486584449454094,0.7809251094154207,[13694  3654 13465 47998]
2023-04-26 03:00:33.225519,W2V_LogReg_minWord50_Samp6e-5,test,0,0.828949895626032,0.8248721625153849,0.8797798024493494,0.821665066788149,[14507  2841 10961 50502]
2023-04-26 03:01:26.551648,W2V_LogReg_minWord50_Samp6e-5,summary,0,0.4999854467970332,0.7229701437616577,0.8349273795392513,0.8983453459805086,[ 1763 15585  6248 55215]
2023-04-26 03:02:22.445966,W2V_LogReg_minWord50_Samp6e-5+Dropout0.1,dropout_0.1,0,0.642833143687928,0.6356980624532108,0.7295624735082185,0.6300863934399558,[11373  5975 22736 38727]
2023-04-26 03:03:20.365278,W2V_LogReg_minWord50_Samp6e-5+Dropout0.25,dropout_0.25,0,0.7566245523404755,0.7572673865323368,0.8296223726398289,0.757772969103363,[13106  4242 14888 46575]
2023-04-26 03:04:21.332592,W2V_LogReg_minWord50_Samp6e-5+Dropout0.5,dropout_0.5,0,0.7884074257099387,0.7862227354049561,0.8512764379788849,0.7845044986414591,[13745  3603 13245 48218]
2023-04-26 03:30:27.407504,W2V_LogReg_minWord20_Win4,test,0,0.8290747399271586,0.82367943561178,0.8787709594681835,0.8194360834973887,[14550  2798 11098 50365]
2023-04-26 03:31:59.108635,W2V_LogReg_minWord20_Win4,summary,0,0.4995108168370367,0.6488561241451066,0.7729294189080526,0.7663146933927729,[ 4037 13311 14363 47100]
2023-04-26 03:33:28.030863,W2V_LogReg_minWord20_Win40.1,dropout_0.1,0,0.6381742983572366,0.6312063036885714,0.7257579045696009,0.6257260465645998,[11287  6061 23004 38459]
2023-04-26 03:35:00.241888,W2V_LogReg_minWord20_Win40.25,dropout_0.25,0,0.7519387318849037,0.753346614051338,0.8267175368377888,0.7544538990937637,[13001  4347 15092 46371]
2023-04-26 03:36:32.080673,W2V_LogReg_minWord10_win4,test,0,0.8311349848435297,0.8266993186230348,0.8810817399784071,0.8232107121357565,[14556  2792 10866 50597]
2023-04-26 03:37:03.258353,W2V_LogReg_minWord20_Win40.5,dropout_0.5,0,0.7849291000026181,0.782733374782708,0.8486418159799874,0.7810064591705579,[13685  3663 13460 48003]
2023-04-26 03:38:45.309548,W2V_LogReg_minWord10_win4,summary,0,0.48337460240611985,0.4400274073416148,0.5306704100731666,0.40593527813481284,[ 9729  7619 36513 24950]
2023-04-26 03:41:00.802373,W2V_LogReg_minWord10_win+Dropout0.1,dropout_0.1,0,0.6420396093702179,0.6356219309487254,0.7296740122939631,0.6305744919707792,[11337  6011 22706 38757]
2023-04-26 03:43:18.377975,W2V_LogReg_minWord10_win+Dropout0.25,dropout_0.25,0,0.7566775544163555,0.7569628605143952,0.8293356618433245,0.7571872508663748,[13118  4230 14924 46539]
2023-04-26 03:45:35.724099,W2V_LogReg_minWord10_win+Dropout0.5,dropout_0.5,0,0.7897525163381238,0.7869332961134867,0.8517315061719674,0.7847160080048159,[13788  3560 13232 48231]
2023-04-26 04:07:18.267518,W2V_LogReg_minWord20_Win2,test,0,0.8244704938435831,0.8202408293258555,0.876364683602852,0.8169142410881344,[14434  2914 11253 50210]
2023-04-26 04:08:44.364766,W2V_LogReg_minWord20_Win2,summary,0,0.48189242234102336,0.521640380149979,0.643215414608294,0.5529017457657452,[ 7128 10220 27480 33983]
2023-04-26 04:10:12.473222,W2V_LogReg_minWord20_Win20.1,dropout_0.1,0,0.6360403645743016,0.6284909466952583,0.723279178126211,0.6225534061142476,[11268  6080 23199 38264]
2023-04-26 04:11:43.036341,W2V_LogReg_minWord20_Win20.25,dropout_0.25,0,0.7509562464890605,0.7523949702452704,0.8259884788928323,0.7535265118851993,[12983  4365 15149 46314]
2023-04-26 04:13:15.263909,W2V_LogReg_minWord20_Win20.5,dropout_0.5,0,0.7826459418452378,0.7800433949575567,0.8465535402891008,0.7779965182304801,[13658  3690 13645 47818]
2023-04-26 19:33:16.371993,W2V_LSTM_v1,summary,0,0.7268324494361877,0.6741105318069458,0.6741105318069458,0.6741105318069458,[0. 0. 0. 0.]
2023-04-26 19:35:52.686876,W2V_LSTM_v1,test,0,0.9658976197242737,0.9011572003364563,0.9011572003364563,0.9011572003364563,[0. 0. 0. 0.]
2023-04-26 19:40:54.859864,W2V_LSTM_v1,dropout_0.1,0,0.9658976197242737,0.9011572003364563,0.9011572003364563,0.9011572003364563,[0. 0. 0. 0.]
2023-04-26 19:42:50.067079,W2V_LSTM_v1,dropout_0.25,0,0.9114826917648315,0.8314723372459412,0.8314723372459412,0.8314723372459412,[0. 0. 0. 0.]
2023-04-26 19:44:43.971038,W2V_LSTM_v1,dropout_0.5,0,0.9371160268783569,0.8630157709121704,0.8630157709121704,0.8630157709121704,[0. 0. 0. 0.]
2023-04-26 21:20:14.322023,W2V_LSTM_v2,test,0,0.9643293619155884,0.8983149528503418,0.8983149528503418,0.8983149528503418,[0. 0. 0. 0.]
2023-04-26 21:20:53.310322,W2V_LSTM_v2,summary,0,0.9251275658607483,0.8458356857299805,0.8458356857299805,0.8458356857299805,[0. 0. 0. 0.]
2023-04-26 21:21:25.232165,W2V_LSTM_v2,dropout_0.1,0,0.7876542806625366,0.7176318168640137,0.7176318168640137,0.7176318168640137,[0. 0. 0. 0.]
2023-04-26 21:21:57.664325,W2V_LSTM_v2,dropout_0.25,0,0.9024349451065063,0.8208902478218079,0.8208902478218079,0.8208902478218079,[0. 0. 0. 0.]
2023-04-26 21:22:41.226978,W2V_LSTM_v2,dropout_0.5,0,0.9313292503356934,0.8522052764892578,0.8522052764892578,0.8522052764892578,[0. 0. 0. 0.]
2023-04-26 22:34:54.554569,W2V_LSTM_v3,test,0,0.9645485281944275,0.8993808031082153,0.8993808031082153,0.8993808031082153,[0. 0. 0. 0.]
2023-04-26 22:35:34.192958,W2V_LSTM_v3,summary,0,0.9240878224372864,0.8474597930908203,0.8474597930908203,0.8474597930908203,[0. 0. 0. 0.]
2023-04-26 22:36:04.962519,W2V_LSTM_v3,dropout_0.1,0,0.8148890733718872,0.744480550289154,0.744480550289154,0.744480550289154,[0. 0. 0. 0.]
2023-04-26 22:36:36.428228,W2V_LSTM_v3,dropout_0.25,0,0.9121837019920349,0.8334263563156128,0.8334263563156128,0.8334263563156128,[0. 0. 0. 0.]
2023-04-26 22:37:07.634664,W2V_LSTM_v3,dropout_0.5,0,0.9367260932922363,0.8618230819702148,0.8618230819702148,0.8618230819702148,[0. 0. 0. 0.]
